provider_id,name,city,state,latitude,longitude,specialty,secondary_specialty,specialty_category,experience_years,service_cost,wait_time_days,patient_rating,risk_rate,certified,background_check_passed,network_type,capacity,telehealth_available,hospital_affiliation,CMS_quality_score,region,phone_no,address
P01181,Francis Williams,City_181,OH,40.4173,-82.9071,Neurology,Ophthalmology,Specialty Care,5,740.26,20,1.38,0.21,FALSE,TRUE,Out-of-network,270,FALSE,"Braun, Lynch and Huff Hospital",3.21,South,384-824-9806,"35194 Brian Unions, City_181, OH 75758"
P01182,Kelly Frost,City_182,NY,43.3494,-74.1679,Pediatrics,Psychiatry,Primary Care,1,178,6,1.94,0.33,FALSE,TRUE,Out-of-network,423,FALSE,Taylor PLC Hospital,1.63,West,308.447.2529,"113 Jeffery Centers, City_182, NY 18892"
P01183,Jacob Vincent,City_183,PA,41.3033,-77.0945,Endocrinology,General Practice,Specialty Care,28,624.07,52,3.69,0.23,TRUE,FALSE,Out-of-network,160,FALSE,"Carlson, Taylor and Curry Hospital",3.25,South,(593)294-2232,"8899 Sanders Walk Suite 699, City_183, PA 22290"
P01184,Jeremy Fleming,City_184,PA,41.3533,-77.0445,Pediatrics,Neurology,Primary Care,2,178.94,38,1.93,0.17,FALSE,TRUE,In-network,363,FALSE,Wright-Humphrey Hospital,3.68,North,540-755-9649,"96402 Katie Cape Apt. 496, City_184, PA 59847"
P01185,Carla Rose,City_185,CA,36.9783,-119.2179,Psychiatry,General Practice,Specialty Care,34,444.22,45,1.29,0.7,FALSE,TRUE,In-network,255,TRUE,"Howard, Conley and Gonzales Hospital",3.97,East,717-671-5953x81968,"171 Davis Haven Suite 645, City_185, CA 57649"
P01186,Amy Lowe,City_186,WA,48.0011,-120.4901,General Practice,Endocrinology,Primary Care,6,129.5,38,1.94,0.84,FALSE,FALSE,Out-of-network,462,TRUE,Berg LLC Hospital,3.41,South,-9324,"0696 Pruitt Station Apt. 109, City_186, WA 26196"
P01187,James Morris,City_187,TX,32.2686,-99.6018,Pediatrics,Neurology,Primary Care,39,222.37,10,3.99,0.44,FALSE,FALSE,In-network,463,FALSE,Jones-Jones Hospital,4.05,East,667-950-1196,"66810 Richardson Stream Suite 793, City_187, TX 39479"
P01188,Mary Wright,City_188,FL,28.3444,-81.4103,Dermatology,Pediatrics,Specialty Care,38,352.95,10,3.29,0.78,FALSE,FALSE,In-network,390,FALSE,Henderson-Smith Hospital,4.18,West,001-773-885-2443,"0598 Cox Ridges Suite 921, City_188, FL 75818"
P01189,Julie Mcfarland,City_189,TX,32.3686,-99.5018,Urology,Pediatrics,Specialty Care,11,620.23,58,4.81,0.1,TRUE,FALSE,In-network,477,FALSE,Merritt Group Hospital,2.4,North,(775)253-6148x806,"949 Jason Islands, City_189, TX 66148"
P01190,Renee Taylor,City_190,WA,48.2011,-120.2901,Cardiology,Neurology,Specialty Care,12,754.21,58,2.42,0.65,FALSE,TRUE,Out-of-network,353,FALSE,Perry and Sons Hospital,2.53,North,-6057,"2579 Natasha Station, City_190, WA 19834"
P01191,Laura Davis,City_191,TX,31.9686,-99.9018,Orthopedics,Urology,Surgical,11,784.92,6,1.44,0.49,TRUE,FALSE,Out-of-network,91,TRUE,Lopez PLC Hospital,2.29,East,(805)553-5232,"0805 Nicole Expressway, City_191, TX 44189"
P01192,Kevin Cooke,City_192,TX,32.0186,-99.8518,Urology,Endocrinology,Specialty Care,27,628.96,54,1.65,0.32,FALSE,TRUE,In-network,98,FALSE,Munoz-Martinez Hospital,2.86,North,(272)889-9626x196,"0564 Sandoval Summit, City_192, TX 74432"
P01193,Matthew Jordan,City_193,MI,44.4148,-85.5024,Pediatrics,Dermatology,Primary Care,17,178.09,9,4.65,0.09,TRUE,TRUE,In-network,142,FALSE,Moran LLC Hospital,2.47,South,(272)299-6004x671,"910 Murphy Trafficway, City_193, MI 51517"
P01194,Wayne Morgan,City_194,NY,43.4494,-74.0679,Dermatology,ENT,Specialty Care,8,316.28,17,2.69,0.21,FALSE,FALSE,In-network,250,TRUE,"Harvey, Manning and Johnson Hospital",3.51,South,368.523.8135,"748 Elizabeth Rue, City_194, NY 74294"
P01195,Lisa Smith,City_195,GA,32.3656,-82.7001,Pediatrics,Pediatrics,Primary Care,25,208.61,46,4.05,0.64,FALSE,TRUE,In-network,73,TRUE,Harper LLC Hospital,4.84,West,001-587-787-1728x56723,"9677 Garcia Wall Apt. 840, City_195, GA 03812"
P01196,Susan Evans,City_196,NY,43.5494,-73.9679,Pediatrics,Orthopedics,Primary Care,8,196.37,23,1.59,0.45,TRUE,TRUE,Out-of-network,230,TRUE,"Baker, Gates and Gutierrez Hospital",2.81,West,881-271-9797x26988,"64156 Fox Court, City_196, NY 87346"
P01197,Ana Brown,City_197,MI,44.6148,-85.3024,Pediatrics,Cardiology,Primary Care,23,185.06,35,1.36,0.51,FALSE,TRUE,In-network,193,TRUE,"Hughes, Flores and Johnson Hospital",1.78,South,824.305.2966x837,"11122 Jennifer Pass Suite 405, City_197, MI 09526"
P01198,Kimberly Keller,City_198,NV,39.1526,-116.0694,Pediatrics,ENT,Primary Care,3,189.55,48,1.09,1,FALSE,FALSE,Out-of-network,116,TRUE,"Clark, Jones and Smith Hospital",3.63,East,561-730-1223x2404,"9526 Anderson Springs Suite 102, City_198, NV 74529"
P01199,David Dickerson,City_199,AZ,34.4489,-110.6937,Cardiology,General Practice,Specialty Care,8,755.87,48,2.72,0.99,TRUE,TRUE,Out-of-network,250,TRUE,Zimmerman and Sons Hospital,1.21,West,(572)895-7541x9224,"648 Stanley Plains Apt. 385, City_199, AZ 43618"
P01200,Shawn Mueller,City_200,GA,32.6156,-82.4501,Urology,General Practice,Specialty Care,8,613.45,5,4.81,0.95,TRUE,TRUE,In-network,288,TRUE,"Gray, Allen and Garcia Hospital",1.31,North,001-494-619-6800x02829,"5745 Hansen Passage Suite 473, City_200, GA 96815"
P01201,Richard Doyle,City_1,NV,38.8026,-116.4194,Endocrinology,Cardiology,Specialty Care,27,674.63,6,1.84,0.59,FALSE,FALSE,In-network,172,FALSE,Sosa Inc Hospital,2.61,South,662.832.9390x396,"546 Jeffrey Road, City_1, NV 24126"
P01202,Eric Hendrix,City_2,CO,39.6001,-105.7321,ENT,Pediatrics,Specialty Care,12,321.17,27,1.76,0.06,FALSE,FALSE,In-network,56,FALSE,"Blake, George and Gutierrez Hospital",2.86,East,640-425-2497x666,"729 Ortega Wells, City_2, CO 70108"
P01203,Mr. Cory Miller,City_3,FL,28.0944,-81.6603,Orthopedics,Dermatology,Surgical,40,871.6,41,1.03,0.29,TRUE,FALSE,Out-of-network,206,TRUE,Thompson Group Hospital,1.87,West,961-735-7579,"1157 Thompson Crossroad, City_3, FL 82605"
P01204,Jacqueline Edwards,City_4,IL,40.7831,-89.2485,Endocrinology,Ophthalmology,Specialty Care,38,744.2,16,3.61,0.28,TRUE,FALSE,In-network,314,FALSE,Hughes-Burnett Hospital,1.54,West,950-503-9910,"768 Thompson Views, City_4, IL 58468"
P01205,Joshua Wade,City_5,TX,32.1686,-99.7018,General Practice,Urology,Primary Care,35,145.73,29,4.33,0.9,TRUE,TRUE,Out-of-network,229,FALSE,"Hanson, Kennedy and Hernandez Hospital",2.39,West,(378)770-4620,"9848 Lindsey Route, City_5, TX 98291"
P01206,Emily Lawrence,City_6,IL,40.8831,-89.1485,Pediatrics,Dermatology,Primary Care,18,210.6,21,3.04,0.58,FALSE,FALSE,In-network,393,TRUE,Santiago-Ortiz Hospital,2.34,East,-4011,"25718 Aimee Brooks, City_6, IL 20035"
P01207,Mark Franklin,City_7,AZ,34.3489,-110.7937,Gastroenterology,ENT,Specialty Care,32,704.52,23,3.19,0.18,FALSE,TRUE,Out-of-network,185,TRUE,Herrera Ltd Hospital,1.89,West,(942)537-7597,"45726 David Mountain Suite 753, City_7, AZ 32979"
P01208,Robert Craig,City_8,TX,32.3186,-99.5518,Orthopedics,Cardiology,Surgical,15,880.12,26,4.52,0.91,TRUE,TRUE,In-network,146,FALSE,Orozco Ltd Hospital,1.67,South,(652)423-6138x2977,"96389 Smith Square, City_8, TX 55813"
P01209,Alexander Russell,City_9,MI,44.7148,-85.2024,Orthopedics,ENT,Surgical,40,1010.94,23,1.52,0.11,FALSE,TRUE,In-network,288,TRUE,Griffin LLC Hospital,3.68,West,001-489-732-7874x49714,"620 Shannon Isle, City_9, MI 11900"
P01210,Natasha Golden,City_10,NY,43.7494,-73.7679,Pediatrics,Neurology,Primary Care,40,233.84,43,1.57,0.34,TRUE,TRUE,Out-of-network,252,TRUE,"Mitchell, Todd and Johnson Hospital",1.59,West,(898)490-4514x88478,"51688 Brian Forest Apt. 407, City_10, NY 34055"
P01211,Lisa Evans,City_11,WA,47.7511,-120.7401,Neurology,Pediatrics,Specialty Care,2,665.99,27,2.55,0.34,TRUE,FALSE,In-network,474,FALSE,Wilson-Logan Hospital,1.11,South,(225)268-5369x88016,"3524 Arthur Spring, City_11, WA 30746"
P01212,Bianca King,City_12,IL,40.6831,-89.3485,Psychiatry,Pediatrics,Specialty Care,33,459.96,38,2.94,0.57,FALSE,TRUE,Out-of-network,382,TRUE,Calderon Group Hospital,2.05,West,709.980.5197x242,"11726 Smith River, City_12, IL 47752"
P01213,Robin Maldonado,City_13,NV,38.9026,-116.3194,Urology,Urology,Specialty Care,12,579.67,24,3.45,0.67,TRUE,FALSE,In-network,310,TRUE,Herman-Mcintyre Hospital,3.76,South,+1-477-445-3023x036,"2697 Smith Passage Apt. 598, City_13, NV 57090"
P01214,Tara Turner,City_14,WA,47.9011,-120.5901,Urology,Dermatology,Specialty Care,1,569.88,6,3.63,0.57,TRUE,TRUE,In-network,372,FALSE,Anderson-Park Hospital,4.67,East,653-308-6648x70880,"3139 Stephanie Extension Suite 732, City_14, WA 19177"
P01215,Sarah Jones,City_15,GA,32.3656,-82.7001,General Practice,Pediatrics,Primary Care,11,122.02,56,1.08,0.81,TRUE,FALSE,Out-of-network,231,TRUE,"Thomas, Rosario and Warren Hospital",3.77,South,4952859419,"560 Diaz Canyon Suite 918, City_15, GA 56189"
P01216,Ms. Nicole Ryan,City_16,MA,42.6572,-71.1324,Pediatrics,Neurology,Primary Care,26,191.22,44,1.39,0.41,FALSE,FALSE,Out-of-network,213,FALSE,"Williams, Saunders and Cox Hospital",1.05,North,645-929-4681x03473,"465 Michael Ports Apt. 130, City_16, MA 88984"
P01217,Andrew Sanders,City_17,GA,32.4656,-82.6001,Gastroenterology,General Practice,Specialty Care,11,600.41,12,1.71,0.51,FALSE,FALSE,Out-of-network,498,TRUE,Fuller Group Hospital,2.02,South,001-624-561-2925,"68437 Melanie Green, City_17, GA 89019"
P01218,Rebecca Clark,City_18,FL,28.3444,-81.4103,Cardiology,Dermatology,Specialty Care,22,808.21,22,3.86,0.05,TRUE,FALSE,Out-of-network,213,FALSE,Orozco-Moreno Hospital,1.3,North,889-458-1201x72953,"47126 Crystal Ways Apt. 258, City_18, FL 96944"
P01219,Michael Casey MD,City_19,IL,41.0331,-88.9985,ENT,Orthopedics,Specialty Care,37,374.17,23,3.84,0.17,FALSE,FALSE,In-network,471,FALSE,Burgess PLC Hospital,1.94,East,001-226-850-1646x8782,"975 Scott Motorway Suite 820, City_19, IL 84433"
P01220,James Brown,City_20,PA,41.6533,-76.7445,Pediatrics,Dermatology,Primary Care,2,169.36,14,2.11,0.43,TRUE,FALSE,In-network,84,TRUE,"Williams, Ward and Gordon Hospital",2.05,South,+1-663-861-6942x990,"0059 Melton Hill, City_20, PA 65145"
P01221,Donald Briggs,City_21,NY,43.2994,-74.2179,Endocrinology,ENT,Specialty Care,25,719.07,47,4.79,0.58,TRUE,TRUE,Out-of-network,95,TRUE,"Moore, Johnson and Stewart Hospital",4.88,East,(378)294-1055,"27928 Brooks Mountain, City_21, NY 32562"
P01222,Charles Nichols,City_22,PA,41.2533,-77.1445,ENT,Dermatology,Specialty Care,34,412.7,41,4.02,0.77,FALSE,FALSE,Out-of-network,117,TRUE,"Coffey, Perry and Salinas Hospital",1.54,North,001-274-488-1745x4477,"3161 Lisa Mountain, City_22, PA 36115"
P01223,Linda Richards,City_23,FL,28.0944,-81.6603,Endocrinology,Pediatrics,Specialty Care,9,632.57,12,3.19,0.15,TRUE,TRUE,In-network,253,TRUE,Ross Inc Hospital,1.58,East,408.360.6984x8176,"989 Anderson Islands, City_23, FL 90126"
P01224,Seth Richards,City_24,PA,41.3533,-77.0445,ENT,Endocrinology,Specialty Care,21,361.34,42,3.46,0.81,FALSE,FALSE,Out-of-network,465,FALSE,"Martinez, Petersen and Ruiz Hospital",2.8,East,001-396-612-2423x76889,"40931 Mindy View, City_24, PA 53859"
P01225,Christopher Dunlap,City_25,TX,32.1686,-99.7018,Neurology,Cardiology,Specialty Care,7,753.55,14,3.77,0.54,TRUE,FALSE,Out-of-network,473,TRUE,Barr Inc Hospital,2.61,South,362-447-0617x9748,"9953 Megan Forges, City_25, TX 90940"
P01226,David Williams,City_26,IL,40.8831,-89.1485,General Practice,Urology,Primary Care,1,126.53,16,3.29,0.19,FALSE,TRUE,Out-of-network,293,FALSE,Turner-Lewis Hospital,2.56,East,385-991-6413x410,"901 Kathryn Hill Suite 540, City_26, IL 53464"
P01227,James Bowen,City_27,NV,39.1026,-116.1194,Dermatology,Psychiatry,Specialty Care,14,312.54,35,3.91,0.52,FALSE,FALSE,Out-of-network,334,TRUE,Camacho-Maldonado Hospital,4.19,West,(800)997-0584x250,"3682 Roberts Place, City_27, NV 17542"
P01228,Hannah Harvey,City_28,WA,48.1011,-120.3901,Dermatology,Urology,Specialty Care,33,341.58,49,2.45,0.83,TRUE,TRUE,Out-of-network,230,FALSE,Hansen Ltd Hospital,3.01,West,001-993-467-1395x71261,"92764 John Stream, City_28, WA 77382"
P01229,Christopher Combs,City_29,MI,44.7148,-85.2024,Urology,Gastroenterology,Specialty Care,9,544.44,16,3.43,0.26,FALSE,TRUE,In-network,495,TRUE,"Munoz, Phillips and Howard Hospital",4.48,East,909-305-6225x14371,"48160 Monique Trace, City_29, MI 63992"
P01230,Brandon Mathis,City_30,CO,40.0001,-105.3321,Cardiology,Cardiology,Specialty Care,37,864.55,47,1,0.56,FALSE,TRUE,In-network,66,FALSE,Phelps-Greer Hospital,3.11,East,+1-561-818-4918x60910,"547 Timothy Meadows, City_30, CO 15078"
P01231,Brian Andrade,City_31,NC,35.7596,-79.0193,General Practice,General Practice,Primary Care,18,121.59,47,3.76,0.3,TRUE,TRUE,Out-of-network,352,TRUE,Collins and Sons Hospital,2.68,West,494-264-8377x77380,"16832 Mendez Cape Apt. 903, City_31, NC 69301"
P01232,Sheila Adams,City_32,MI,44.3648,-85.5524,Psychiatry,Psychiatry,Specialty Care,20,434.08,22,3.11,0.32,FALSE,TRUE,Out-of-network,338,TRUE,"Davis, Stephens and Garcia Hospital",4.81,South,850-212-5520x6523,"3734 Hoover Haven Suite 986, City_32, MI 25345"
P01233,Linda Wallace,City_33,TX,32.0686,-99.8018,Pediatrics,Neurology,Primary Care,34,211.53,60,1.87,0.52,TRUE,TRUE,In-network,156,FALSE,Schneider Inc Hospital,4.37,South,762-545-9648,"94882 Smith Bridge Apt. 720, City_33, TX 33124"
P01234,Stephen Johnson,City_34,IL,40.7831,-89.2485,Ophthalmology,Ophthalmology,Specialty Care,25,282.36,15,2.7,0.36,TRUE,TRUE,In-network,88,FALSE,"Campbell, Daniel and Allen Hospital",3.37,South,(329)954-1433x9641,"439 George Spurs, City_34, IL 23076"
P01235,Melissa Bailey,City_35,TX,32.1686,-99.7018,Cardiology,Dermatology,Specialty Care,8,783.16,13,2.62,0.34,TRUE,FALSE,Out-of-network,104,FALSE,Williams-Stout Hospital,4.54,West,611.395.3611x60223,"13119 Kevin Mountain Apt. 553, City_35, TX 35836"
P01236,Tammy Peters,City_36,WA,48.0011,-120.4901,Psychiatry,Urology,Specialty Care,40,462.8,24,2.51,0.99,FALSE,TRUE,In-network,304,TRUE,Johnson Group Hospital,4.29,North,(670)482-0791,"5204 Caldwell Light Apt. 952, City_36, WA 37048"
P01237,Donna Wilson,City_37,AZ,34.3489,-110.7937,Cardiology,Cardiology,Specialty Care,9,751.88,20,4.52,0.4,TRUE,TRUE,Out-of-network,404,TRUE,Grant-Ramos Hospital,4.7,North,249-901-2788,"2618 William Rue Apt. 025, City_37, AZ 94680"
P01238,Jennifer Walker,City_38,MA,42.7572,-71.0324,Endocrinology,Dermatology,Specialty Care,25,720.9,57,2.31,0.13,TRUE,TRUE,Out-of-network,367,TRUE,Williams-Johns Hospital,2.88,South,583-556-8389,"63193 Walton Trail Apt. 240, City_38, MA 88048"
P01239,Sherri Wang,City_39,AZ,34.4489,-110.6937,Orthopedics,Ophthalmology,Surgical,15,785.24,46,1.02,0.28,TRUE,TRUE,In-network,264,FALSE,Moore-Lopez Hospital,1.8,North,703-914-1118x35018,"27431 John Pike, City_39, AZ 22513"
P01240,James Glenn,City_40,TX,32.4186,-99.4518,Dermatology,Dermatology,Specialty Care,38,329.64,17,1.2,0.75,FALSE,FALSE,Out-of-network,463,FALSE,"Jones, Kennedy and Collier Hospital",3.98,East,321-627-6043x873,"96247 Victor Ways Apt. 317, City_40, TX 46688"
P01241,Melissa Fernandez,City_41,TX,31.9686,-99.9018,Dermatology,Neurology,Specialty Care,31,331.95,37,1.92,0.1,FALSE,TRUE,In-network,161,FALSE,Lin-Robinson Hospital,1.51,North,-6357,"883 Jenkins Roads, City_41, TX 64950"
P01242,Harry Gordon,City_42,PA,41.2533,-77.1445,Neurology,Dermatology,Specialty Care,24,775.2,51,3.76,0.68,TRUE,FALSE,In-network,62,FALSE,Castro Group Hospital,1.83,West,898-510-6734,"45317 Whitehead Throughway Suite 264, City_42, PA 33139"
P01243,Stacey Fox,City_43,CO,39.6501,-105.6821,Gastroenterology,Neurology,Specialty Care,14,615.72,9,3.18,0.74,TRUE,TRUE,Out-of-network,146,FALSE,"Williamson, Johnson and Schroeder Hospital",3.11,East,4585001986,"76012 Fernandez Extensions Suite 260, City_43, CO 53865"
P01244,Christopher Leon,City_44,TX,32.1186,-99.7518,Endocrinology,Pediatrics,Specialty Care,13,623.02,24,1.94,0.49,TRUE,TRUE,In-network,257,FALSE,"Smith, Cortez and Lewis Hospital",4.26,South,+1-981-771-8570x80524,"3549 Livingston Underpass Apt. 062, City_44, TX 03936"
P01245,Alicia Roman,City_45,NY,43.4994,-74.0179,Cardiology,Gastroenterology,Specialty Care,35,959.98,29,3.46,0.38,TRUE,FALSE,In-network,275,FALSE,Smith-Weaver Hospital,1.82,East,365.266.3103,"41372 Cline Points, City_45, NY 42783"
P01246,Michelle Price,City_46,FL,28.2444,-81.5103,General Practice,ENT,Primary Care,35,128.37,28,3.3,0.5,TRUE,FALSE,Out-of-network,437,FALSE,"Stewart, Hernandez and Carlson Hospital",3.27,East,730-943-5223x47068,"6019 Tracy Motorway, City_46, FL 27536"
P01247,Larry Young,City_47,PA,41.5033,-76.8945,ENT,Cardiology,Specialty Care,18,368.14,39,1.13,0.87,FALSE,FALSE,Out-of-network,332,TRUE,Brown-Johnson Hospital,4.25,South,001-969-760-2998,"9868 Mcdonald Green Apt. 021, City_47, PA 15737"
P01248,Andrea Rodriguez,City_48,CO,39.9001,-105.4321,Ophthalmology,Neurology,Specialty Care,24,288.04,45,4.22,0.65,TRUE,TRUE,In-network,484,FALSE,Stewart LLC Hospital,2,West,(763)327-0001x67412,"0403 Kevin Circles Suite 661, City_48, CO 83947"
P01249,Brandon Anderson,City_49,IL,41.0331,-88.9985,Cardiology,Endocrinology,Specialty Care,2,825.01,55,3.07,0.08,TRUE,FALSE,In-network,319,TRUE,Irwin Group Hospital,3.3,South,(752)519-8196x9549,"4233 Jason Locks, City_49, IL 10275"
P01250,Jack Mcintosh,City_50,PA,41.6533,-76.7445,Endocrinology,Urology,Specialty Care,34,660.56,29,1.27,0.16,FALSE,FALSE,In-network,478,TRUE,Walker-Wagner Hospital,4.45,North,220-846-8507,"572 Velasquez Keys, City_50, PA 27281"
P01251,Chelsea Cox,City_51,MA,42.4072,-71.3824,Orthopedics,Neurology,Surgical,26,970.28,12,1.02,0.93,TRUE,FALSE,In-network,106,FALSE,Wallace-Curry Hospital,1.33,North,722-433-6204x1925,"0694 Marie Estates Apt. 424, City_51, MA 82551"
P01252,Jerry Thompson,City_52,IL,40.6831,-89.3485,Pediatrics,Ophthalmology,Primary Care,15,209.91,45,1.6,0.66,TRUE,FALSE,In-network,426,TRUE,Ortiz Ltd Hospital,1.83,West,001-455-541-6610x1345,"5305 Johnson Fords, City_52, IL 26145"
P01253,Ashley Cox,City_53,PA,41.3033,-77.0945,ENT,Psychiatry,Specialty Care,3,329.27,32,4.86,0.28,TRUE,FALSE,In-network,347,FALSE,Hicks-Anthony Hospital,2.76,East,610.384.0519,"76551 Collins Wall Apt. 464, City_53, PA 73607"
P01254,Ryan Butler,City_54,NY,43.4494,-74.0679,Gastroenterology,Urology,Specialty Care,31,676.2,53,2.77,0.84,FALSE,TRUE,In-network,488,TRUE,Barker Ltd Hospital,4.45,East,(435)614-8865,"64410 Eric Well, City_54, NY 12484"
P01255,Christopher Bowman,City_55,CO,39.7501,-105.5821,Neurology,Pediatrics,Specialty Care,17,666.19,43,3.61,0.32,TRUE,TRUE,In-network,489,FALSE,"Knapp, Calderon and Mcmahon Hospital",2.25,South,438.912.8692x02998,"4400 Kimberly Gateway, City_55, CO 42798"
P01256,Casey Martin,City_56,OH,40.6673,-82.6571,ENT,Ophthalmology,Specialty Care,18,388.19,54,2.1,0.08,FALSE,FALSE,Out-of-network,155,TRUE,Huffman LLC Hospital,2.79,South,732-660-0067,"703 Miller Trail Apt. 722, City_56, OH 15701"
P01257,Tina Cox,City_57,NY,43.5994,-73.9179,Dermatology,Psychiatry,Specialty Care,5,285.04,27,4.67,0.11,TRUE,FALSE,In-network,144,FALSE,Huerta-Murray Hospital,3.03,North,715-338-7257,"157 Cameron Locks Suite 237, City_57, NY 32858"
P01258,Edward Dawson,City_58,PA,41.5533,-76.8445,General Practice,General Practice,Primary Care,16,140.98,19,3.93,0.8,FALSE,FALSE,Out-of-network,283,TRUE,Woodard Ltd Hospital,3.12,North,(241)539-4208x839,"233 Abigail Street Apt. 289, City_58, PA 87212"
P01259,Justin Joseph,City_59,OH,40.8173,-82.5071,Urology,Dermatology,Specialty Care,12,562.69,21,3.68,0.18,FALSE,FALSE,In-network,493,FALSE,"Gonzalez, Sweeney and King Hospital",4.18,South,(948)960-5277,"713 Wilson Meadow Suite 250, City_59, OH 64469"
P01260,Jennifer Taylor,City_60,MA,42.8572,-70.9324,Orthopedics,Pediatrics,Surgical,22,961.32,28,1.17,0.21,TRUE,FALSE,Out-of-network,315,TRUE,Ramirez-Howard Hospital,1.97,North,001-580-894-1624x094,"72793 John Meadows Suite 772, City_60, MA 52973"
P01261,Summer King,City_61,TX,31.9686,-99.9018,Endocrinology,Cardiology,Specialty Care,36,720.82,53,1.06,0.59,FALSE,FALSE,Out-of-network,221,TRUE,Johnson-Franklin Hospital,2.3,North,257.353.4323x1612,"5022 Stevens Shoals Suite 039, City_61, TX 75201"
P01262,Jeffrey Ramirez,City_62,GA,32.2156,-82.8501,Neurology,General Practice,Specialty Care,14,671.34,43,1.27,1,TRUE,FALSE,Out-of-network,285,FALSE,Bell-Church Hospital,2.46,East,512.913.8236x30358,"05315 White Turnpike, City_62, GA 69138"
P01263,Patricia Torres,City_63,NC,35.8596,-78.9193,Urology,Dermatology,Specialty Care,40,649.56,12,3.83,0.79,TRUE,TRUE,In-network,85,FALSE,Smith-Harris Hospital,3.87,West,2258099639,"77399 Owen River, City_63, NC 35154"
P01264,Sarah Chen,City_64,TX,32.1186,-99.7518,Psychiatry,Pediatrics,Specialty Care,28,468.82,29,4.55,0.54,TRUE,TRUE,Out-of-network,470,TRUE,Campbell Ltd Hospital,4.45,South,845.880.6275x8459,"09964 Frank Ferry, City_64, TX 42550"
P01265,Stephen Jensen,City_65,TX,32.1686,-99.7018,Cardiology,General Practice,Specialty Care,17,868.09,42,4.79,0.44,TRUE,TRUE,Out-of-network,163,FALSE,Smith Inc Hospital,1.88,East,641.315.8413x486,"539 Nancy Mountains Apt. 069, City_65, TX 14699"
P01266,Joshua Hall,City_66,NC,36.0096,-78.7693,Dermatology,Endocrinology,Specialty Care,26,359.05,60,2.47,0.83,TRUE,TRUE,In-network,477,TRUE,"Jones, Foster and Smith Hospital",2.07,North,3095077715,"590 William Loaf, City_66, NC 29691"
P01267,Kiara Roberts,City_67,TX,32.2686,-99.6018,Gastroenterology,Neurology,Specialty Care,12,603.31,47,2.02,0.06,FALSE,FALSE,In-network,471,FALSE,Lopez-Wilcox Hospital,4.79,East,9823344553,"60832 Johnson Springs, City_67, TX 74181"
P01268,Kathleen Miller,City_68,NC,36.1096,-78.6693,Dermatology,Neurology,Specialty Care,33,374.49,25,4.43,0.59,FALSE,TRUE,Out-of-network,416,FALSE,Hicks-Thomas Hospital,4.95,South,(733)264-6960,"1231 Foster Meadow Suite 610, City_68, NC 38695"
P01269,Ashley Strong,City_69,CO,39.9501,-105.3821,Ophthalmology,ENT,Specialty Care,1,276.07,42,4.95,0.25,TRUE,FALSE,Out-of-network,389,FALSE,Armstrong Ltd Hospital,2.62,South,220.419.4790,"924 Cruz Lodge Apt. 783, City_69, CO 71182"
P01270,Joseph Mcdowell,City_70,IL,41.0831,-88.9485,Pediatrics,ENT,Primary Care,36,222.53,6,4.3,0.52,TRUE,FALSE,In-network,50,TRUE,Rivera and Sons Hospital,4.75,East,+1-798-850-6431x0693,"604 Nicholas Row Suite 163, City_70, IL 06344"
P01271,Steven Benitez,City_71,CO,39.5501,-105.7821,Psychiatry,Urology,Specialty Care,12,376.65,18,1.75,0.48,TRUE,FALSE,Out-of-network,108,TRUE,Gilbert-Stephenson Hospital,2.83,South,832.903.7054,"470 Sharon Viaduct, City_71, CO 29669"
P01272,Rachel Wheeler,City_72,NV,38.8526,-116.3694,Psychiatry,ENT,Specialty Care,22,429.73,23,1.75,0.22,FALSE,FALSE,Out-of-network,60,TRUE,Brown-Taylor Hospital,1.24,North,776-733-4441x8710,"54250 Gonzalez Extension, City_72, NV 24923"
P01273,Noah Jones,City_73,MA,42.5072,-71.2824,Neurology,Orthopedics,Specialty Care,10,715.19,51,2.61,0.1,FALSE,TRUE,Out-of-network,61,TRUE,Taylor and Sons Hospital,3.09,North,847.954.1708x0314,"70848 Arnold Turnpike, City_73, MA 78255"
P01274,Lisa Anderson,City_74,CO,39.7001,-105.6321,Urology,Neurology,Specialty Care,19,644.03,16,2.46,0.66,TRUE,FALSE,In-network,285,FALSE,Murphy Group Hospital,3.31,West,8139202260,"9867 Todd Course Apt. 141, City_74, CO 19891"
P01275,Theresa Walker,City_75,PA,41.4033,-76.9945,Orthopedics,Dermatology,Surgical,24,890.35,50,1.85,0.87,FALSE,TRUE,In-network,217,FALSE,"Pittman, Martinez and Holland Hospital",3.62,East,-3958,"283 Jones Mountains Apt. 405, City_75, PA 91595"
P01276,Sandra Davis,City_76,CO,39.8001,-105.5321,Endocrinology,Gastroenterology,Specialty Care,14,635.64,48,4.59,0.15,FALSE,TRUE,In-network,419,FALSE,Mooney-Jones Hospital,2.4,South,6138149708,"1992 Schroeder Flats, City_76, CO 96938"
P01277,Kristen Curtis,City_77,OH,40.7173,-82.6071,Dermatology,Ophthalmology,Specialty Care,21,354.45,27,4.49,0.22,TRUE,FALSE,In-network,376,TRUE,"Collins, Spears and Evans Hospital",5,West,(490)409-4796,"5629 Cynthia Hollow Apt. 655, City_77, OH 38260"
